path,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,mos,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00000_chp_0009_reader_06709_17_seg_live_phone_1.wav,1013.6001879341785,295.34106341511523,852.7466944498847,187.03084079630648,1943.1818181818182,680.0058484421595,0.0004072989977430552,0.0011251134565100074,2.75,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00000_chp_0009_reader_06709_17_seg_live_phone_600.wav,1051.5588105388754,382.8056658104536,894.5567721511553,224.0125512801374,1994.6992793791574,778.3277857059808,0.0017343091312795877,0.004158297553658485,2.8,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00000_chp_0009_reader_06709_17_seg_live_skype_1.wav,1145.8219593095907,699.748866251788,1179.7787222713887,435.2518623889454,2086.3705654101996,1365.4616033757695,0.0036276078317314386,0.007913351058959961,3.2,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00000_chp_0009_reader_06709_17_seg_live_skype_600.wav,1241.4148383736444,763.4712517764893,1296.1144550842803,475.39331259161156,2456.5895232815965,1486.3988761066357,0.0050023505464196205,0.010740726254880428,3.4,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00007_chp_0008_reader_01326_58_seg_live_phone_2.wav,1234.5248477229568,456.1334903177656,1000.3794176556843,186.8290875293026,2402.870216306156,730.3132488561752,0.0008036607760004699,0.0010479108896106482,1.8,s
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00007_chp_0008_reader_01326_58_seg_live_phone_601.wav,1037.2889163634154,358.6486730388092,927.6120105494239,182.13570373046144,2079.2689267886853,744.9149215584091,0.0003632129228208214,0.001077683991752565,1.0,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00007_chp_0008_reader_01326_58_seg_live_skype_2.wav,1498.365341416927,962.9911400082357,1485.8095126417654,453.7481595099833,2862.1048252911814,1693.9934285728052,0.012865684926509857,0.02121310494840145,2.0,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00007_chp_0008_reader_01326_58_seg_live_skype_601.wav,910.3488021501776,735.0226984099938,1173.8004572526404,477.80703465040904,1758.657445923461,1550.453050783797,0.0034427677746862173,0.010500483214855194,1.4,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00007_chp_0008_reader_01326_7_seg_live_phone_3.wav,1112.2288689761936,466.9335295008195,946.6673018741113,213.8717627935495,2196.6702279202277,839.0085778192149,0.0005262844497337937,0.0013569350121542811,2.8,
/Users/jonassvirkaer/Desktop/python_projekter/P2 - Projekt/NISQA_Corpus/NISQA_TRAIN_LIVE/deg/book_00007_chp_0008_reader_01326_7_seg_live_phone_602.wav,1241.0369586636696,422.0313377108468,983.7973685220668,165.90836967773694,2456.775284900285,660.3542522421845,0.00021363707492128015,0.0007466820534318686,1.4,
