filnavn,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,mos
book_00000_chp_0009_reader_06709_17_seg_live_phone_1.wav,1013.6001883830806,295.34106400085983,852.7466937785136,187.03084241531334,1943.1818181818182,680.0058484421595,0.0004072988813277334,0.00112511299084872,2.75
book_00000_chp_0009_reader_06709_17_seg_live_phone_600.wav,1051.5588103363614,382.8056664654237,894.5567710243466,224.0125544359374,1994.6992793791574,778.3277857059808,0.0017343091312795877,0.004158298019319773,1.33333333333333
book_00000_chp_0009_reader_06709_17_seg_live_skype_1.wav,1145.8219601191,699.7488662946542,1179.7787234733564,435.2518608658047,2086.3705654101996,1365.4616033757695,0.0036276073660701513,0.007913350127637386,2.75
book_00000_chp_0009_reader_06709_17_seg_live_skype_600.wav,1241.414838891107,763.4712519328316,1296.1144548500647,475.3933141734255,2456.5895232815965,1486.3988761066357,0.0050023505464196205,0.010740727186203003,1.33333333333333
book_00007_chp_0008_reader_01326_58_seg_live_phone_2.wav,1234.5248479161378,456.1334894064189,1000.379419331482,186.82908605788748,2402.870216306156,730.3132488561752,0.000803660717792809,0.0010479107731953263,2.8
book_00007_chp_0008_reader_01326_58_seg_live_phone_601.wav,1037.2889165839324,358.64867325047385,927.6120117913223,182.1357037778427,2079.2689267886853,744.9149215584091,0.00036321289371699095,0.0010776841081678867,2.6
book_00007_chp_0008_reader_01326_58_seg_live_skype_2.wav,1498.3653417450325,962.9911398694474,1485.8095136981276,453.7481582615993,2862.078826955075,1693.958818441961,0.012865684926509857,0.0212131105363369,2.8
book_00007_chp_0008_reader_01326_58_seg_live_skype_601.wav,910.3488020070808,735.0226986208281,1173.8004562859444,477.8070370935762,1758.657445923461,1550.453050783797,0.0034427689388394356,0.010500487871468067,2.6
book_00007_chp_0008_reader_01326_7_seg_live_phone_3.wav,1112.2288690317787,466.9335283203792,946.6673023858302,213.87176037080107,2196.6702279202277,839.0085778192149,0.0005262845079414546,0.0013569347793236375,3.2
book_00007_chp_0008_reader_01326_7_seg_live_phone_602.wav,1241.03695883727,422.03133799701214,983.797368962385,165.90837208573575,2456.775284900285,660.3542522421845,0.00021363706036936492,0.000746681762393564,1.0
book_00007_chp_0008_reader_01326_7_seg_live_skype_3.wav,1673.8340454582822,1346.0689212617262,1401.8859832818077,526.9166729233798,2916.3105413105413,1999.736450624924,0.011677929200232029,0.019903171807527542,3.2
book_00007_chp_0008_reader_01326_7_seg_live_skype_602.wav,2241.516963533661,1165.7164001382748,1807.7324360968562,335.356391745304,4226.36217948718,1439.3031308920322,0.027994569391012192,0.034126266837120056,1.0
book_00028_chp_0015_reader_08897_0_seg_live_phone_4.wav,848.7759473801577,518.2419094407651,781.1570364151164,273.1295927884141,1465.9161813643927,1024.5135792224767,0.0016606254503130913,0.0039931475184857845,3.4
book_00028_chp_0015_reader_08897_0_seg_live_phone_603.wav,1017.4535100497185,457.13960532490387,864.0915368981937,170.5049975864262,1889.5850665557405,860.7150764456711,0.0001556347997393459,0.0008025337592698634,2.2
book_00028_chp_0015_reader_08897_0_seg_live_skype_4.wav,1087.1990088515236,800.2539956447896,1298.7785111717305,479.8271440421368,1954.4509151414309,1618.0634722732302,0.009403671137988567,0.017267728224396706,3.4
book_00028_chp_0015_reader_08897_0_seg_live_skype_603.wav,1576.791826734396,728.9938658362174,1723.6849780383627,305.5063517759627,3302.126663893511,1443.1368192423656,0.030987778678536415,0.04227085039019585,2.2
